,year,sex,ahe
1,1992,male,12.99911785
2,1992,male,11.61796188
3,1992,male,17.37729263
4,1992,female,10.06126595
5,1992,male,16.75667572
6,1992,female,9.216171265
7,1992,female,15.95873737
8,1992,male,27.36923599
9,1992,male,10.63915825
10,1992,male,6.981947899
11,1992,female,5.920691967
12,1992,female,14.09222031
13,1992,male,14.49380875
14,1992,female,16.91822624
15,1992,male,20.21972275
16,1992,male,9.796210289
17,1992,female,12.51165104
18,1992,male,16.7510891
19,1992,male,17.87378693
20,1992,male,15.63956356
21,1992,female,19.8597641
22,1992,female,7.261226177
23,1992,female,14.5484314
24,1992,female,15.88781071
25,1992,male,16.59708786
26,1992,male,26.08064651
27,1992,male,20.97687531
28,1992,male,26.81068039
29,1992,male,43.19498444
30,1992,female,21.78367805
31,1992,male,22.34223557
32,1992,male,14.23430824
33,1992,female,19.54945564
34,1992,male,20.97687531
35,1992,female,26.25212479
36,1992,male,8.37833786
37,1992,male,25.13501167
38,1992,male,10.22157192
39,1992,male,20.10800934
40,1992,male,37.42324448
41,1992,male,13.9638958
42,1992,male,18.43234253
43,1992,female,7.81978178
44,1992,female,11.17111778
45,1992,male,20.66656685
46,1992,male,20.10800934
47,1992,male,18.59041405
48,1992,female,16.59708786
49,1992,male,12.28822899
50,1992,male,5.576621532
51,1992,male,10.16571617
52,1992,male,16.59332848
53,1992,male,12.28822899
54,1992,male,8.564522743
55,1992,female,12.84678459
56,1992,female,13.90183449
57,1992,male,21.84573936
58,1992,male,14.29902935
59,1992,female,8.37833786
60,1992,female,13.9638958
61,1992,male,41.8916893
62,1992,female,5.585558891
63,1992,male,16.01193428
64,1992,male,19.54945564
65,1992,male,18.99089813
66,1992,male,19.54945564
67,1992,female,15.08100796
68,1992,female,15.63956356
69,1992,male,9.309264183
70,1992,male,7.81978178
71,1992,male,16.58290291
72,1992,female,22.34223557
73,1992,male,12.06480598
74,1992,female,18.99089813
75,1992,male,21.89538765
76,1992,male,30.99984932
77,1992,female,27.9277916
78,1992,female,13.40534019
79,1992,female,8.132573128
80,1992,male,9.830582619
81,1992,male,15.74233818
82,1992,male,33.51335144
83,1992,female,10.96800518
84,1992,male,16.53325272
85,1992,male,10.42637539
86,1992,female,14.87099075
87,1992,female,12.84678459
88,1992,female,13.9638958
89,1992,male,29.78964424
90,1992,male,4.149271965
91,1992,male,16.75667572
92,1992,female,24.01790047
93,1992,male,8.936893463
94,1992,male,17.42694283
95,1992,male,34.75458527
96,1992,female,18.43234253
97,1992,male,28.1512146
98,1992,female,17.87378693
99,1992,female,11.17111778
100,1992,male,18.76747704
101,1992,male,18.86677551
102,1992,male,30.78263283
103,1992,female,16.75667572
104,1992,male,17.87378693
105,1992,male,48.03580093
106,1992,female,13.9638958
107,1992,female,12.9088459
108,1992,male,12.28822899
109,1992,male,16.75667572
110,1992,female,17.87378693
111,1992,female,17.37729263
112,1992,female,27.9277916
113,1992,male,17.87378693
114,1992,female,13.40534019
115,1992,male,29.04490471
116,1992,female,12.41235161
117,1992,female,13.40534019
118,1992,male,17.87378693
119,1992,male,16.24889755
120,1992,male,13.9638958
121,1992,female,16.75667572
122,1992,male,14.02273083
123,1992,female,13.77771091
124,1992,male,20.10800934
125,1992,female,11.96905327
126,1992,female,5.5940485
127,1992,female,14.89482212
128,1992,female,11.61796188
129,1992,male,29.04490471
130,1992,male,25.13501167
131,1992,male,8.936893463
132,1992,male,27.9277916
133,1992,female,15.08100796
134,1992,female,13.40534019
135,1992,male,22.34223557
136,1992,female,18.76747704
137,1992,male,15.84267521
138,1992,male,12.41235161
139,1992,female,15.08100796
140,1992,male,10.0106163
141,1992,male,41.8916893
142,1992,female,13.18191814
143,1992,male,20.66656685
144,1992,female,17.37729263
145,1992,female,17.30219269
146,1992,male,11.61796188
147,1992,female,11.17111778
148,1992,female,11.73637486
149,1992,male,19.49359894
150,1992,female,12.56750584
151,1992,female,16.75667572
152,1992,female,14.52245235
153,1992,male,16.53325272
154,1992,male,13.40534019
155,1992,male,21.22512054
156,1992,male,6.834095001
157,1992,female,13.9638958
158,1992,female,18.43234253
159,1992,male,40.21601868
160,1992,male,22.34223557
161,1992,male,29.24801636
162,1992,male,17.31523132
163,1992,male,22.90078926
164,1992,male,23.45934677
165,1992,female,21.2783165
166,1992,female,19.62144661
167,1992,male,10.72427177
168,1992,female,23.45934677
169,1992,male,8.37833786
170,1992,male,16.75667572
171,1992,female,12.56750584
172,1992,male,19.54945564
173,1992,male,14.04369068
174,1992,female,11.17111778
175,1992,female,14.3688488
176,1992,male,11.72967339
177,1992,female,13.9638958
178,1992,male,17.37729263
179,1992,female,12.51165104
180,1992,female,21.78367805
181,1992,female,19.54945564
182,1992,male,14.7458744
183,1992,male,14.62400818
184,1992,female,16.75667572
185,1992,female,16.75667572
186,1992,male,11.43091011
187,1992,female,13.684618
188,1992,female,13.03296947
189,1992,male,17.61599159
190,1992,male,24.01790047
191,1992,male,9.882142067
192,1992,male,13.40534019
193,1992,male,21.22512054
194,1992,female,29.04490471
195,1992,female,16.75667572
196,1992,male,14.52245235
197,1992,male,9.575242996
198,1992,male,16.75667572
199,1992,female,16.75667572
200,1992,female,17.87378693
201,1992,female,20.10800934
202,1992,male,12.51165104
203,1992,male,22.34223557
204,1992,male,28.65391541
205,1992,female,18.76747704
206,1992,male,16.75667572
207,1992,female,25.13501167
208,1992,female,11.84138393
209,1992,male,20.66656685
210,1992,male,27.36923599
211,1992,female,10.58316326
212,1992,female,23.61893272
213,1992,female,15.63956356
214,1992,female,11.17111778
215,1992,female,15.39131641
216,1992,male,15.63956356
217,1992,female,24.28973198
218,1992,male,22.34223557
219,1992,male,17.87378693
220,1992,male,7.149514675
221,1992,male,13.9638958
222,1992,female,15.95873737
223,1992,male,17.08882904
224,1992,male,11.17111778
225,1992,female,20.42718697
226,1992,female,15.63956356
227,1992,female,9.92988205
228,1992,male,11.17111778
229,1992,female,15.73265648
230,1992,male,16.75667572
231,1992,female,36.30612946
232,1992,male,27.25752449
233,1992,female,23.45934677
234,1992,male,9.473106384
235,1992,female,27.30717468
236,1992,male,11.61796188
237,1992,female,17.87378693
238,1992,female,18.32063103
239,1992,female,14.52245235
240,1992,female,16.19811821
241,1992,female,9.774727821
242,1992,male,27.9277916
243,1992,male,21.22512054
244,1992,female,22.34223557
245,1992,male,23.23592377
246,1992,female,22.34223557
247,1992,male,15.08100796
248,1992,female,12.84678459
249,1992,female,3.699873924
250,1992,male,17.87378693
251,1992,female,17.31523132
252,1992,female,10.19119453
253,1992,female,15.68424797
254,1992,female,28.72572899
255,1992,male,14.52245235
256,1992,male,12.10204315
257,1992,female,14.68203926
258,1992,male,16.19811821
259,1992,male,16.75667572
260,1992,male,11.41936398
261,1992,male,38.52895355
262,1992,male,16.19811821
263,1992,female,15.08100796
264,1992,female,20.10800934
265,1992,female,21.22512054
266,1992,male,25.51438332
267,1992,female,18.72558403
268,1992,female,8.182222366
269,1992,female,14.52245235
270,1992,male,24.01790047
271,1992,male,13.97506714
272,1992,male,22.90078926
273,1992,female,13.9638958
274,1992,male,25.13501167
275,1992,male,15.63956356
276,1992,male,22.34223557
277,1992,male,8.657615662
278,1992,male,24.2040863
279,1992,female,25.8176918
280,1992,male,9.294368744
281,1992,female,14.7458744
282,1992,female,10.05400467
283,1992,male,16.93094444
284,1992,male,18.03078651
285,1992,male,18.68623161
286,1992,male,19.8597641
287,1992,female,13.908041
288,1992,male,17.31523132
289,1992,female,18.43234253
290,1992,male,11.61796188
291,1992,male,21.22512054
292,1992,female,8.132573128
293,1992,female,13.9638958
294,1992,female,13.40534019
295,1992,male,19.54945564
296,1992,male,14.7447567
297,1992,male,11.17111778
298,1992,male,12.12864208
299,1992,male,8.068029404
300,1992,male,19.73563957
301,1992,male,28.22176933
302,1992,female,13.684618
303,1992,female,13.74047375
304,1992,male,20.42718697
305,1992,male,17.87378693
306,1992,male,15.95873737
307,1992,male,12.51165104
308,1992,male,15.08100796
309,1992,male,11.4902916
310,1992,male,28.43556976
311,1992,male,9.495449066
312,1992,male,15.63956356
313,1992,male,10.99925423
314,1992,female,15.58760452
315,1992,female,19.43774414
316,1992,male,16.38430405
317,1992,male,24.57645798
318,1992,female,13.9638958
319,1992,female,11.17111778
320,1992,male,18.43234253
321,1992,male,33.51335144
322,1992,male,18.99089813
323,1992,male,25.59201241
324,1992,female,11.17111778
325,1992,male,17.31523132
326,1992,male,17.31523132
327,1992,female,14.52245235
328,1992,female,15.23334122
329,1992,male,27.9277916
330,1992,male,31.18603516
331,1992,female,13.9638958
332,1992,male,13.77771091
333,1992,female,12.03043365
334,1992,female,8.936893463
335,1992,female,24.69404793
336,1992,female,16.75667572
337,1992,female,15.08100796
338,1992,female,24.01790047
339,1992,female,14.64873409
340,1992,male,22.34223557
341,1992,male,22.34223557
342,1992,female,16.75667572
343,1992,male,19.54945564
344,1992,female,16.59708786
345,1992,male,25.69356918
346,1992,male,12.28822899
347,1992,male,22.34223557
348,1992,female,26.25212479
349,1992,female,21.22512054
350,1992,male,35.02296066
351,1992,female,14.36286449
352,1992,female,13.40534019
353,1992,female,24.28973198
354,1992,male,22.78907967
355,1992,female,6.144114494
356,1992,female,15.95873737
357,1992,female,11.17111778
358,1992,female,11.17111778
359,1992,female,21.22512054
360,1992,female,22.34223557
361,1992,female,12.84678459
362,1992,male,15.08100796
363,1992,female,20.42718697
364,1992,male,17.42694283
365,1992,female,15.95873737
366,1992,female,11.61796188
367,1992,female,17.23543739
368,1992,male,15.08100796
369,1992,male,14.04369068
370,1992,female,26.81068039
371,1992,female,17.78441811
372,1992,female,12.61255074
373,1992,male,19.54945564
374,1992,female,23.45934677
375,1992,male,16.75667572
376,1992,female,17.87378693
377,1992,male,6.051021576
378,1992,female,29.39767647
379,1992,female,16.75667572
380,1992,female,15.68424797
381,1992,female,28.5980587
382,1992,female,32.23665237
383,1992,male,38.54035187
384,1992,female,2.904490471
385,1992,male,33.51335144
386,1992,female,21.5147438
387,1992,male,15.97469711
388,1992,male,16.53325272
389,1992,male,15.97469711
390,1992,female,11.17111778
391,1992,female,29.04490471
392,1992,female,22.34223557
393,1992,male,14.52245235
394,1992,male,8.713471413
395,1992,male,14.62400818
396,1992,female,19.91650391
397,1992,male,17.31523132
398,1992,female,15.97469711
399,1992,male,10.42637539
400,1992,male,20.78347397
401,1992,female,19.54945564
402,1992,female,12.56750584
403,1992,female,33.51335144
404,1992,female,15.19271946
405,1992,female,20.77827644
406,1992,female,10.61256027
407,1992,male,27.55967712
408,1992,male,10.92286968
409,1992,female,19.54945564
410,1992,male,12.9896698
411,1992,male,20.66656685
412,1992,female,17.37729263
413,1992,female,19.33462524
414,1992,female,18.99089813
415,1992,female,18.43234253
416,1992,female,17.87378693
417,1992,female,14.60838318
418,1992,male,27.9277916
419,1992,female,11.72967339
420,1992,female,25.13501167
421,1992,female,22.98058319
422,1992,female,16.75667572
423,1992,female,15.95873737
424,1992,female,14.29902935
425,1992,female,16.19811821
426,1992,male,11.72967339
427,1992,female,14.52245235
428,1992,male,22.34223557
429,1992,female,11.64327335
430,1992,male,22.34223557
431,1992,female,11.17111778
432,1992,male,12.28822899
433,1992,female,15.73265648
434,1992,female,10.05400467
435,1992,female,25.77949905
436,1992,male,23.33522224
437,1992,female,16.88079834
438,1992,male,15.49061489
439,1992,female,18.43234253
440,1992,male,5.585558891
441,1992,female,9.874709129
442,1992,male,4.840816975
443,1992,male,30.72057152
444,1992,female,20.72172356
445,1992,male,18.43234253
446,1992,female,14.69883823
447,1992,female,32.23665237
448,1992,female,26.40445709
449,1992,female,19.46965981
450,1992,female,15.95873737
451,1992,male,25.13501167
452,1992,male,26.72131157
453,1992,male,33.51335144
454,1992,female,18.25360489
455,1992,female,8.37833786
456,1992,male,17.50141525
457,1992,female,11.72967339
458,1992,male,17.87378693
459,1992,male,33.51335144
460,1992,male,6.702670097
461,1992,female,23.51813889
462,1992,male,19.8597641
463,1992,female,21.06553459
464,1992,male,21.22512054
465,1992,male,26.81068039
466,1992,male,12.84678459
467,1992,female,11.84138393
468,1992,female,16.75667572
469,1992,male,25.13501167
470,1992,male,17.87378693
471,1992,male,23.68276787
472,1992,female,19.96837044
473,1992,female,22.71460533
474,1992,male,25.22757339
475,1992,female,13.9638958
476,1992,male,19.54945564
477,1992,male,25.13501167
478,1992,male,23.45934677
479,1992,female,30.72057152
480,1992,female,19.78883553
481,1992,female,25.02330208
482,1992,male,12.9088459
483,1992,male,21.22512054
484,1992,female,22.34223557
485,1992,female,18.43234253
486,1992,male,47.47724533
487,1992,male,26.81068039
488,1992,male,28.4863472
489,1992,male,22.34223557
490,1992,female,22.34223557
491,1992,male,23.83171654
492,1992,male,13.55428886
493,1992,male,26.81068039
494,1992,female,29.78964424
495,1992,female,14.21778488
496,1992,male,26.81068039
497,1992,male,27.9277916
498,1992,female,14.52245235
499,1992,male,21.22512054
500,1992,male,10.61256027
501,1992,female,5.362135887
502,1992,male,4.062224388
503,1992,female,19.96837044
504,1992,male,18.99089813
505,1992,female,8.936893463
506,1992,male,27.88310814
507,1992,male,12.41235161
508,1992,male,13.40534019
509,1992,female,8.657615662
510,1992,male,12.10204315
511,1992,female,26.25212479
512,1992,male,13.40534019
513,1992,male,18.43234253
514,1992,female,7.078019619
515,1992,male,13.40534019
516,1992,male,19.54945564
517,1992,male,12.5291748
518,1992,female,20.10800934
519,1992,male,13.40534019
520,1992,female,13.40534019
521,1992,male,10.05400467
522,1992,male,25.13501167
523,1992,female,16.75667572
524,1992,male,16.17577744
525,1992,female,20.66656685
526,1992,male,27.49813271
527,1992,female,22.34223557
528,1992,female,21.22512054
529,1992,male,15.88781071
530,1992,female,6.970777035
531,1992,male,24.37334633
532,1992,male,14.39832878
533,1992,female,18.99089813
534,1992,female,11.06472492
535,1992,male,18.18553925
536,1992,male,18.28000832
537,1992,male,16.58290291
538,1992,female,6.156526566
539,1992,male,5.306280136
540,1992,female,14.29902935
541,1992,male,15.49061489
542,1992,female,5.362135887
543,1992,female,10.20720863
544,1992,female,37.98179626
545,1992,female,17.87378693
546,1992,female,15.73265648
547,1992,male,25.63263512
548,1992,male,22.90078926
549,1992,male,20.10800934
550,1992,female,11.17111778
551,1992,male,18.99089813
552,1992,male,19.54945564
553,1992,female,26.25212479
554,1992,male,5.776450634
555,1992,male,27.88310814
556,1992,female,14.52245235
557,1992,female,12.28822899
558,1992,female,18.37028122
559,1992,female,7.021845341
560,1992,male,13.9638958
561,1992,female,6.702670097
562,1992,male,25.10931778
563,1992,female,30.16201591
564,1992,male,33.06650543
565,1992,male,20.10800934
566,1992,male,23.45934677
567,1992,female,13.03054905
568,1992,male,17.87378693
569,1992,female,20.33143234
570,1992,male,27.34689331
571,1992,female,13.84523392
572,1992,male,13.684618
573,1992,female,22.34223557
574,1992,male,8.37833786
575,1992,female,22.34223557
576,1992,male,16.19811821
577,1992,female,22.34223557
578,1992,male,10.72427177
579,1992,male,8.896677971
580,1992,female,23.35778999
581,1992,male,22.34223557
582,1992,male,23.27315903
583,1992,male,44.68447113
584,1992,male,17.87378693
585,1992,male,16.26514626
586,1992,male,25.13501167
587,1992,male,18.43234253
588,1992,male,18.61852837
589,1992,male,29.04490471
590,1992,male,44.68447113
591,1992,male,21.22512054
592,1992,male,9.875267029
593,1992,female,21.22512054
594,1992,male,10.37318039
595,1992,female,15.08100796
596,1992,male,30.78263283
597,1992,male,10.42637539
598,1992,male,34.63046265
599,1992,female,11.17111778
600,1992,female,11.84138393
601,1992,female,21.2783165
602,1992,female,16.75667572
603,1992,female,20.42718697
604,1992,female,30.46668243
605,1992,male,21.22512054
606,1992,female,7.943905354
607,1992,female,15.2867918
608,1992,male,16.75667572
609,1992,female,20.42718697
610,1992,male,27.9277916
611,1992,male,22.34223557
612,1992,female,30.64077759
613,1992,male,23.23592377
614,1992,male,15.19271946
615,1992,male,5.808980942
616,1992,female,24.25728416
617,1992,male,27.92977715
618,1992,female,14.79558563
619,1992,male,30.78263283
620,1992,female,18.86677551
621,1992,male,25.32119942
622,1992,male,25.91699028
623,1992,female,18.25360489
624,1992,female,11.17111778
625,1992,female,6.383495331
626,1992,female,13.9638958
627,1992,female,14.32193089
628,1992,female,15.95873737
629,1992,female,19.91650391
630,1992,female,20.57347488
631,1992,male,16.75667572
632,1992,male,29.78964424
633,1992,female,27.9277916
634,1992,male,18.10491371
635,1992,male,24.12961197
636,1992,female,20.66656685
637,1992,female,8.936893463
638,1992,male,10.89865112
639,1992,female,21.22512054
640,1992,male,24.01790047
641,1992,female,26.27872276
642,1992,male,26.40445709
643,1992,female,17.37729263
644,1992,female,28.39946175
645,1992,female,12.36270237
646,1992,male,18.61852837
647,1992,male,30.72057152
648,1992,female,23.45934677
649,1992,female,19.99041939
650,1992,male,22.34223557
651,1992,male,19.01687813
652,1992,female,20.66656685
653,1992,male,26.81068039
654,1992,male,19.54945564
655,1992,male,20.85275078
656,1992,male,20.19436073
657,1992,male,21.34924507
658,1992,male,12.84678459
659,1992,female,50.27002335
660,1992,female,17.31523132
661,1992,male,12.10949039
662,1992,male,10.72427177
663,1992,female,6.144114494
664,1992,male,9.495449066
665,1992,female,24.12961197
666,1992,male,6.093336582
667,1992,male,17.42694283
668,1992,male,13.94155407
669,1992,female,20.74636078
670,1992,male,13.40534019
671,1992,female,11.32006454
672,1992,male,10.61256027
673,1992,male,16.75667572
674,1992,female,12.84678459
675,1992,female,15.63956356
676,1992,female,12.23069763
677,1992,male,29.39767647
678,1992,male,21.78367805
679,1992,female,22.34223557
680,1992,male,29.04490471
681,1992,female,14.52245235
682,1992,male,12.28822899
683,1992,female,17.31523132
684,1992,female,22.34223557
685,1992,male,22.34223557
686,1992,male,21.22512054
687,1992,female,17.23543739
688,1992,male,20.38728714
689,1992,male,30.16201591
690,1992,female,11.17111778
691,1992,male,20.10800934
692,1992,male,25.91699028
693,1992,female,12.28822899
694,1992,male,20.10800934
695,1992,female,25.02330208
696,1992,male,17.87378693
697,1992,male,21.31448936
698,1992,female,17.87378693
699,1992,male,22.94607735
700,1992,male,16.3740654
701,1992,female,13.9638958
702,1992,male,5.808980942
703,1992,male,10.2511425
704,1992,female,23.61893272
705,1992,male,30.83228302
706,1992,male,20.71734428
707,1992,male,16.10719299
708,1992,male,6.330299854
709,1992,female,14.68203926
710,1992,male,44.68447113
711,1992,female,21.22512054
712,1992,male,27.36923599
713,1992,male,15.95873737
714,1992,male,22.34223557
715,1992,female,10.828722
716,1992,male,11.17111778
717,1992,female,11.15324306
718,1992,male,18.43234253
719,1992,male,22.34223557
720,1992,female,9.433387756
721,1992,male,13.9638958
722,1992,male,21.22512054
723,1992,male,24.01790047
724,1992,male,16.24889755
725,1992,male,16.62677765
726,1992,female,11.10540485
727,1992,female,18.15306473
728,1992,female,8.936893463
729,1992,female,19.54945564
730,1992,male,7.81978178
731,1992,male,22.34223557
732,1992,male,15.63956356
733,1992,male,10.30535507
734,1992,female,19.54945564
735,1992,male,11.17111778
736,1992,male,26.06593895
737,1992,female,22.94607735
738,1992,female,15.08100796
739,1992,male,13.87095261
740,1992,male,12.95849514
741,1992,male,21.34924507
742,1992,male,12.28822899
743,1992,female,29.33535194
744,1992,female,13.40534019
745,1992,male,12.28822899
746,1992,female,26.3141861
747,1992,male,16.75667572
748,1992,male,44.68447113
749,1992,female,34.63046265
750,1992,female,18.43234253
751,1992,male,20.66656685
752,1992,female,25.8176918
753,1992,male,7.075040817
754,1992,male,14.03550529
755,1992,male,20.10800934
756,1992,male,25.9982357
757,1992,male,15.63956356
758,1992,female,11.17111778
759,1992,male,11.61796188
760,1992,female,8.403658867
761,1992,male,27.9277916
762,1992,male,22.34223557
763,1992,female,18.76747704
764,1992,male,17.87378693
765,1992,female,11.61516857
766,1992,male,19.9048996
767,1992,female,11.72967339
768,1992,female,13.9638958
769,1992,female,26.56243134
770,1992,male,24.32820892
771,1992,female,26.81068039
772,1992,male,15.18126202
773,1992,female,22.34223557
774,1992,female,15.63956356
775,1992,female,20.33143234
776,1992,female,11.17111778
777,1992,female,22.90078926
778,1992,female,11.61796188
779,1992,male,20.38728714
780,1992,female,25.13501167
781,1992,male,13.9638958
782,1992,male,17.37729263
783,1992,male,23.45934677
784,1992,male,9.681633949
785,1992,female,12.84678459
786,1992,female,19.54945564
787,1992,male,29.04490471
788,1992,male,30.25510788
789,1992,female,10.42637539
790,1992,female,10.05400467
791,1992,male,9.484049797
792,1992,male,14.62400818
793,1992,female,16.38430405
794,1992,male,21.66749763
795,1992,female,15.63956356
796,1992,female,22.34223557
797,1992,female,11.72967339
798,1992,male,6.770374298
799,1992,male,18.87918663
800,1992,male,5.576621532
801,1992,male,20.26351166
802,1992,male,21.16632652
803,1992,female,30.5735836
804,1992,male,20.10800934
805,1992,female,26.81068039
806,1992,male,22.68233299
807,1992,female,12.56750584
808,1992,male,16.19811821
809,1992,male,22.90078926
810,1992,male,15.88781071
811,1992,female,4.07280302
812,1992,male,24.78498459
813,1992,female,12.79930687
814,1992,male,22.34223557
815,1992,male,25.18579102
816,1992,male,30.44129372
817,1992,female,18.15306473
818,1992,male,27.9277916
819,1992,female,10.05400467
820,1992,female,16.08640862
821,1992,male,26.0761795
822,1992,female,9.495449066
823,1992,male,20.33143234
824,1992,female,18.27718735
825,1992,female,14.7458744
826,1992,male,5.106796741
827,1992,male,20.88998985
828,1992,female,5.662600517
829,1992,female,15.63956356
830,1992,male,10.42637539
831,1992,male,15.54740238
832,1992,male,10.37982941
833,1992,male,13.9638958
834,1992,male,13.42118359
835,1992,male,23.27315903
836,1992,male,18.58873749
837,1992,female,5.930847645
838,1992,male,11.4902916
839,1992,male,11.81569099
840,1992,female,13.40534019
841,1992,male,10.89183903
842,1992,male,8.755740166
843,1992,male,10.42637539
844,1992,female,13.3494854
845,1992,female,5.585558891
846,1992,male,15.63956356
847,1992,male,10.96800518
848,1992,male,12.28822899
849,1992,male,17.37729263
850,1992,female,12.9088459
851,1992,male,23.93810654
852,1992,female,15.41614151
853,1992,male,14.52245235
854,1992,male,20.94584465
